work_year,experience_level,salary,employee_residence,remote_ratio,company_size,company_location,company_location_name,company_location_continent,salary_binned,job_title,job_category
2022,Intermediate,20984,IN,Half-Remote,Large,IN,India,Asia,0k-50k,Machine Learning Engineer,Machine Learning & AI
2023,Entry,204620,US,On-Site,Large,US,United States,North America,200k-250k,Applied Scientist,Data Science & Analytics
2023,Entry,110680,US,On-Site,Large,US,United States,North America,100k-150k,Applied Scientist,Data Science & Analytics
2023,Senior,270703,US,On-Site,Medium,US,United States,North America,,Data Engineer,Data Engineering & Infrastructure
2023,Senior,221484,US,On-Site,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,212750,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,185000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,262000,US,Full-Remote,Medium,US,United States,North America,,Data Scientist,Data Science & Analytics
2023,Senior,245000,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,275300,US,Full-Remote,Medium,US,United States,North America,,Data Scientist,Data Science & Analytics
2023,Senior,183500,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,218500,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,199098,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,203300,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,123600,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,189110,US,On-Site,Medium,US,United States,North America,150k-200k,Research Engineer,Data Science & Analytics
2023,Senior,139000,US,On-Site,Medium,US,United States,North America,100k-150k,Research Engineer,Data Science & Analytics
2023,Executive,258750,US,On-Site,Medium,US,United States,North America,,Data Scientist,Data Science & Analytics
2023,Executive,185000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,231500,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,166000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,172500,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,110500,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,238000,US,On-Site,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,176000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,237000,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,201450,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,309400,US,On-Site,Large,US,United States,North America,>300k,Applied Scientist,Data Science & Analytics
2023,Senior,159100,US,On-Site,Large,US,United States,North America,150k-200k,Applied Scientist,Data Science & Analytics
2023,Senior,115000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,81500,US,On-Site,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,237000,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,201450,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,280000,US,On-Site,Medium,US,United States,North America,,Computer Vision Engineer,Specialized Roles
2023,Senior,210000,US,On-Site,Medium,US,United States,North America,200k-250k,Computer Vision Engineer,Specialized Roles
2023,Senior,280100,US,Full-Remote,Medium,US,United States,North America,,Data Architect,Data Engineering & Infrastructure
2023,Senior,168100,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Architect,Data Engineering & Infrastructure
2023,Senior,193500,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,139000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,65062,HK,On-Site,Large,HK,Hong Kong,Asia,50k-100k,Data Scientist,Data Science & Analytics
2023,Senior,150000,PT,Full-Remote,Medium,US,United States,North America,150k-200k,Machine Learning Engineer,Machine Learning & AI
2023,Intermediate,69751,IN,Full-Remote,Small,DE,Germany,Europe,50k-100k,Applied Machine Learning Engineer,Machine Learning & AI
2022,Entry,300000,IN,Half-Remote,Large,IN,India,Asia,>300k,AI Developer,Machine Learning & AI
2023,Intermediate,96578,NL,Full-Remote,Large,NL,Netherlands,Europe,50k-100k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,185900,US,On-Site,Medium,US,United States,North America,150k-200k,Business Intelligence Engineer,Business Intelligence
2023,Senior,129300,US,On-Site,Medium,US,United States,North America,100k-150k,Business Intelligence Engineer,Business Intelligence
2023,Senior,225000,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,175000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,185000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,140000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,48289,ES,On-Site,Medium,ES,Spain,Europe,0k-50k,Data Scientist,Data Science & Analytics
2023,Senior,38631,ES,On-Site,Medium,ES,Spain,Europe,0k-50k,Data Scientist,Data Science & Analytics
2023,Senior,105000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,70000,US,On-Site,Medium,US,United States,North America,50k-100k,Data Scientist,Data Science & Analytics
2023,Entry,163196,US,On-Site,Medium,US,United States,North America,150k-200k,Machine Learning Engineer,Machine Learning & AI
2023,Entry,145885,US,On-Site,Medium,US,United States,North America,100k-150k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,217000,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,185000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,202800,US,On-Site,Large,US,United States,North America,200k-250k,Data Analyst,Data Science & Analytics
2023,Senior,104300,US,On-Site,Large,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,145000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,65000,US,On-Site,Medium,US,United States,North America,50k-100k,Data Analyst,Data Science & Analytics
2023,Senior,165000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,132300,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,179170,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,94300,US,On-Site,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,152500,US,On-Site,Medium,US,United States,North America,150k-200k,Analytics Engineer,Data Science & Analytics
2023,Senior,116450,US,On-Site,Medium,US,United States,North America,100k-150k,Analytics Engineer,Data Science & Analytics
2023,Senior,247300,US,On-Site,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,133800,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,203000,US,On-Site,Medium,US,United States,North America,200k-250k,Research Engineer,Data Science & Analytics
2023,Senior,133000,US,On-Site,Medium,US,United States,North America,100k-150k,Research Engineer,Data Science & Analytics
2023,Entry,220000,US,Half-Remote,Large,US,United States,North America,200k-250k,Research Scientist,Data Science & Analytics
2022,Entry,56536,CH,Full-Remote,Small,CH,Switzerland,Europe,50k-100k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,150000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,120000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,289800,US,On-Site,Medium,US,United States,North America,,Analytics Engineer,Data Science & Analytics
2023,Senior,214000,US,On-Site,Medium,US,United States,North America,200k-250k,Analytics Engineer,Data Science & Analytics
2023,Senior,179820,US,On-Site,Medium,US,United States,North America,150k-200k,Analytics Engineer,Data Science & Analytics
2023,Senior,143860,US,On-Site,Medium,US,United States,North America,100k-150k,Analytics Engineer,Data Science & Analytics
2023,Senior,283200,US,Full-Remote,Medium,US,United States,North America,,Machine Learning Engineer,Machine Learning & AI
2023,Senior,188800,US,Full-Remote,Medium,US,United States,North America,150k-200k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,289800,US,On-Site,Medium,US,United States,North America,,Analytics Engineer,Data Science & Analytics
2023,Senior,214200,US,On-Site,Medium,US,United States,North America,200k-250k,Analytics Engineer,Data Science & Analytics
2023,Senior,185900,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,129300,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,252000,US,On-Site,Medium,US,United States,North America,,Data Engineer,Data Engineering & Infrastructure
2023,Senior,129000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,155000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Analytics Manager,Management & Leadership
2023,Intermediate,140000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Analytics Manager,Management & Leadership
2023,Senior,161800,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,141600,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,342300,US,On-Site,Large,US,United States,North America,>300k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,176100,US,On-Site,Large,US,United States,North America,150k-200k,Machine Learning Engineer,Machine Learning & AI
2023,Intermediate,100000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,70000,US,Full-Remote,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Entry,85000,US,On-Site,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Entry,65000,US,On-Site,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,138784,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,83270,US,Full-Remote,Medium,US,United States,North America,50k-100k,Data Scientist,Data Science & Analytics
2023,Entry,75000,US,On-Site,Medium,US,United States,North America,50k-100k,Data Analyst,Data Science & Analytics
2023,Entry,70000,US,On-Site,Medium,US,United States,North America,50k-100k,Data Analyst,Data Science & Analytics
2023,Senior,204500,US,On-Site,Medium,US,United States,North America,200k-250k,Data Analyst,Data Science & Analytics
2023,Senior,138900,US,On-Site,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,318300,US,Full-Remote,Medium,US,United States,North America,>300k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,212200,US,Full-Remote,Medium,US,United States,North America,200k-250k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,95000,US,Full-Remote,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,75000,US,Full-Remote,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,195000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,160000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,230000,US,On-Site,Medium,US,United States,North America,200k-250k,Analytics Engineer,Data Science & Analytics
2023,Senior,143200,US,On-Site,Medium,US,United States,North America,100k-150k,Analytics Engineer,Data Science & Analytics
2023,Intermediate,100000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,70000,US,Full-Remote,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,105000,US,Half-Remote,Large,US,United States,North America,100k-150k,Business Data Analyst,Business Intelligence
2023,Intermediate,20670,IN,Full-Remote,Large,IN,India,Asia,0k-50k,Applied Data Scientist,Data Science & Analytics
2023,Intermediate,46178,GB,On-Site,Medium,GB,United Kingdom,Europe,0k-50k,Data Analyst,Data Science & Analytics
2023,Intermediate,42533,GB,On-Site,Medium,GB,United Kingdom,Europe,0k-50k,Data Analyst,Data Science & Analytics
2023,Senior,145000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,115000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,168400,US,On-Site,Medium,US,United States,North America,150k-200k,Data Analyst,Data Science & Analytics
2023,Senior,105200,US,On-Site,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,309400,US,On-Site,Large,US,United States,North America,>300k,Applied Scientist,Data Science & Analytics
2023,Senior,159100,US,On-Site,Large,US,United States,North America,150k-200k,Applied Scientist,Data Science & Analytics
2023,Senior,190000,US,On-Site,Medium,US,United States,North America,150k-200k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,150000,US,On-Site,Medium,US,United States,North America,150k-200k,Machine Learning Engineer,Machine Learning & AI
2023,Intermediate,162500,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,130000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,150000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Analytics Engineer,Data Science & Analytics
2023,Senior,120000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Analytics Engineer,Data Science & Analytics
2023,Senior,145000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,120000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,222200,US,On-Site,Large,US,United States,North America,200k-250k,Applied Scientist,Data Science & Analytics
2023,Senior,136000,US,On-Site,Large,US,United States,North America,100k-150k,Applied Scientist,Data Science & Analytics
2023,Senior,54685,CF,Full-Remote,Medium,CF,Central African Republic,Africa,50k-100k,Data Analyst,Data Science & Analytics
2023,Senior,42533,CF,Full-Remote,Medium,CF,Central African Republic,Africa,0k-50k,Data Analyst,Data Science & Analytics
2023,Senior,241000,US,On-Site,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,155000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,220000,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,190000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,66837,GB,On-Site,Medium,GB,United Kingdom,Europe,50k-100k,Data Scientist,Data Science & Analytics
2023,Intermediate,54685,GB,On-Site,Medium,GB,United Kingdom,Europe,50k-100k,Data Scientist,Data Science & Analytics
2020,Executive,15000,NG,On-Site,Medium,CA,Canada,North America,0k-50k,Staff Data Analyst,Data Science & Analytics
2023,Intermediate,85066,GB,Full-Remote,Medium,GB,United Kingdom,Europe,50k-100k,ETL Engineer,Data Engineering & Infrastructure
2023,Intermediate,57723,GB,Full-Remote,Medium,GB,United Kingdom,Europe,50k-100k,ETL Engineer,Data Engineering & Infrastructure
2023,Entry,85000,US,Full-Remote,Medium,US,United States,North America,50k-100k,Data Analyst,Data Science & Analytics
2023,Entry,75000,US,Full-Remote,Medium,US,United States,North America,50k-100k,Data Analyst,Data Science & Analytics
2023,Senior,160000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,140000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,300000,US,On-Site,Medium,US,United States,North America,>300k,Machine Learning Engineer,Machine Learning & AI
2023,Intermediate,250000,US,On-Site,Medium,US,United States,North America,,Machine Learning Engineer,Machine Learning & AI
2023,Senior,228000,US,On-Site,Medium,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,186000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,190000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,170000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Intermediate,230000,US,On-Site,Medium,US,United States,North America,200k-250k,Research Engineer,Data Science & Analytics
2023,Intermediate,200000,US,On-Site,Medium,US,United States,North America,200k-250k,Research Engineer,Data Science & Analytics
2023,Senior,180000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Architect,Data Engineering & Infrastructure
2023,Senior,115000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Architect,Data Engineering & Infrastructure
2023,Senior,200000,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Architect,Data Engineering & Infrastructure
2023,Senior,115000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Architect,Data Engineering & Infrastructure
2023,Senior,53654,FR,Half-Remote,Small,FR,France,Europe,50k-100k,Data DevOps Engineer,Data Engineering & Infrastructure
2023,Executive,220000,US,On-Site,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Executive,205000,US,On-Site,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,180000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Intermediate,130000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,200000,US,Full-Remote,Medium,US,United States,North America,200k-250k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,150000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,215000,US,On-Site,Medium,US,United States,North America,200k-250k,Computer Vision Engineer,Specialized Roles
2023,Senior,170000,US,On-Site,Medium,US,United States,North America,150k-200k,Computer Vision Engineer,Specialized Roles
2023,Senior,247500,US,On-Site,Medium,US,United States,North America,200k-250k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,172200,US,On-Site,Medium,US,United States,North America,150k-200k,Machine Learning Engineer,Machine Learning & AI
2023,Senior,224000,CA,On-Site,Medium,CA,Canada,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,176000,CA,On-Site,Medium,CA,Canada,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,120000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,75000,US,Full-Remote,Medium,US,United States,North America,50k-100k,Data Analyst,Data Science & Analytics
2023,Entry,17022,IN,Full-Remote,Large,IN,India,Asia,0k-50k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,68318,AU,Full-Remote,Medium,FI,Finland,Europe,50k-100k,Applied Data Scientist,Data Science & Analytics
2023,Intermediate,75020,FI,On-Site,Medium,FI,Finland,Europe,50k-100k,AI Developer,Machine Learning & AI
2023,Senior,140000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,120000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Analyst,Data Science & Analytics
2023,Senior,128000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,81500,US,On-Site,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,145000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,115000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,185000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,140000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Executive,329500,US,On-Site,Medium,US,United States,North America,>300k,Head of Data,Management & Leadership
2023,Executive,269600,US,On-Site,Medium,US,United States,North America,,Head of Data,Management & Leadership
2023,Senior,100000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Quality Analyst,Data Science & Analytics
2023,Senior,80000,US,On-Site,Medium,US,United States,North America,50k-100k,Data Quality Analyst,Data Science & Analytics
2023,Senior,250000,US,On-Site,Medium,US,United States,North America,,Data Scientist,Data Science & Analytics
2023,Senior,162500,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Intermediate,200000,US,Full-Remote,Medium,US,United States,North America,200k-250k,AI Developer,Machine Learning & AI
2023,Senior,145000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,100000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Executive,145000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Executive,115000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Engineer,Data Engineering & Infrastructure
2023,Senior,203500,US,On-Site,Medium,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,152000,US,On-Site,Medium,US,United States,North America,150k-200k,Data Scientist,Data Science & Analytics
2023,Senior,239000,US,On-Site,Large,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,122900,US,On-Site,Large,US,United States,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,237000,US,On-Site,Medium,US,United States,North America,200k-250k,Data Scientist,Data Science & Analytics
2023,Senior,145000,US,On-Site,Medium,US,United States,North America,100k-150k,Data Scientist,Data Science & Analytics
2023,Senior,191765,US,On-Site,Medium,US,United States,North America,150k-200k,Data Science Manager,Management & Leadership
2023,Senior,134236,US,On-Site,Medium,US,United States,North America,100k-150k,Data Science Manager,Management & Leadership
2023,Senior,190000,US,Full-Remote,Medium,US,United States,North America,150k-200k,Analytics Engineer,Data Science & Analytics
2023,Senior,112000,US,Full-Remote,Medium,US,United States,North America,100k-150k,Analytics Engineer,Data Science & Analytics
2022,Senior,88256,ES,Full-Remote,Large,GB,United Kingdom,Europe,50k-100k,Data Scientist,Data Science & Analytics
2023,Entry,85000,US,On-Site,Medium,US,United States,North America,50k-100k,Data Engineer,Data Engineering & Infrastructure
